package,dependency,type
optimalThreshold,apt-get install -y jags,apt-get
publipha,apt-get install -y make,apt-get
curl,apt-get install -y libcurl4-openssl-dev,apt-get
curl,apt-get install -y libssl-dev,apt-get
RKEEL,apt-get install -y default-jdk,apt-get
RKEEL,R CMD javareconf,R CMD
ced,apt-get install -y make,apt-get
rDEA,apt-get install -y libglpk-dev,apt-get
conStruct,apt-get install -y make,apt-get
scaffolder,apt-get install -y python,apt-get
kza,apt-get install -y libfftw3-dev,apt-get
chebpol,apt-get install -y libfftw3-dev,apt-get
chebpol,apt-get install -y libgsl0-dev,apt-get
dataMaid,apt-get install -y git,apt-get
dataMaid,apt-get install -y pandoc,apt-get
pedometrics,apt-get install -y pandoc,apt-get
BivRec,apt-get install -y make,apt-get
disaggregation,apt-get install -y make,apt-get
pbdBASE,apt-get install -y libopenmpi-dev,apt-get
registr,apt-get install -y make,apt-get
cppRouting,apt-get install -y make,apt-get
easyNCDF,apt-get install -y libnetcdf-dev,apt-get
GRANBase,apt-get install -y git,apt-get
PopGenome,apt-get install -y zlib1g-dev,apt-get
RDieHarder,apt-get install -y libgsl0-dev,apt-get
CBSr,apt-get install -y default-jdk,apt-get
CBSr,R CMD javareconf,R CMD
phase1PRMD,apt-get install -y jags,apt-get
ndjson,apt-get install -y zlib1g-dev,apt-get
matchingMarkets,apt-get install -y default-jdk,apt-get
matchingMarkets,R CMD javareconf,R CMD
shinyloadtest,apt-get install -y pandoc,apt-get
botor,apt-get install -y python,apt-get
OpenCL,apt-get install -y ocl-icd-opencl-dev,apt-get
collector,apt-get install -y pandoc,apt-get
REPLesentR,apt-get install -y pandoc,apt-get
SGP,apt-get install -y texlive,apt-get
TDA,apt-get install -y libgmp3-dev,apt-get
qmix,apt-get install -y make,apt-get
trackdem,apt-get install -y libimage-exiftool-perl,apt-get
trackdem,apt-get install -y python,apt-get
r2pmml,apt-get install -y default-jdk,apt-get
r2pmml,R CMD javareconf,R CMD
rmumps,apt-get install -y make,apt-get
seqminer,apt-get install -y make,apt-get
seqminer,apt-get install -y zlib1g-dev,apt-get
EcoDiet,apt-get install -y jags,apt-get
MBNMAtime,apt-get install -y jags,apt-get
ip2location,apt-get install -y python,apt-get
LCMCR,apt-get install -y libgsl0-dev,apt-get
sdcTable,apt-get install -y libglpk-dev,apt-get
rblt,apt-get install -y libhdf5-dev,apt-get
rtmpt,apt-get install -y libgsl0-dev,apt-get
scs,apt-get install -y make,apt-get
gpg,apt-get install -y libgpgme11-dev,apt-get
gpg,apt-get install -y haveged,apt-get
RJSDMX,apt-get install -y default-jdk,apt-get
RJSDMX,R CMD javareconf,R CMD
eggCounts,apt-get install -y make,apt-get
rpostgis,apt-get install -y libpq-dev,apt-get
spate,apt-get install -y libfftw3-dev,apt-get
rchallenge,apt-get install -y pandoc,apt-get
MethComp,apt-get install -y jags,apt-get
eaf,apt-get install -y make,apt-get
webshot,apt-get install -y imagemagick,apt-get
webshot,apt-get install -y libmagick++-dev,apt-get
bfw,apt-get install -y jags,apt-get
bfw,apt-get install -y default-jdk,apt-get
bfw,R CMD javareconf,R CMD
knor,apt-get install -y make,apt-get
glpkAPI,apt-get install -y libglpk-dev,apt-get
proj4,apt-get install -y libproj-dev,apt-get
orderly,apt-get install -y git,apt-get
rzmq,apt-get install -y libzmq3-dev,apt-get
gdalUtils,apt-get install -y libgdal-dev,apt-get
gdalUtils,apt-get install -y gdal-bin,apt-get
pbdMPI,apt-get install -y libopenmpi-dev,apt-get
JMbayes,apt-get install -y jags,apt-get
rapidjsonr,apt-get install -y make,apt-get
mleap,apt-get install -y default-jdk,apt-get
mleap,R CMD javareconf,R CMD
nmslibR,apt-get install -y python,apt-get
pandocfilters,apt-get install -y pandoc,apt-get
RSiena,apt-get install -y make,apt-get
RSiena,apt-get install -y tcl,apt-get
RSiena,apt-get install -y tk,apt-get
RSiena,apt-get install -y tk-dev,apt-get
RSiena,apt-get install -y tk-table,apt-get
NobBS,apt-get install -y jags,apt-get
Orcs,apt-get install -y make,apt-get
pdSpecEst,apt-get install -y make,apt-get
runjags,apt-get install -y jags,apt-get
pbdSLAP,apt-get install -y libopenmpi-dev,apt-get
hBayesDM,apt-get install -y make,apt-get
rsparkling,apt-get install -y default-jdk,apt-get
rsparkling,R CMD javareconf,R CMD
dti,apt-get install -y libgsl0-dev,apt-get
baggr,apt-get install -y make,apt-get
sqp,apt-get install -y make,apt-get
rdefra,apt-get install -y libgdal-dev,apt-get
rdefra,apt-get install -y gdal-bin,apt-get
PKI,apt-get install -y libssl-dev,apt-get
evaluator,apt-get install -y pandoc,apt-get
XLConnect,apt-get install -y default-jdk,apt-get
XLConnect,R CMD javareconf,R CMD
JGR,apt-get install -y default-jdk,apt-get
JGR,R CMD javareconf,R CMD
